block_date,protocol_fee_kind,cnt_orders,cnt_tx,protocol_fee_in_eth
7/5/2024,priceimprovement,2367,1582,16.228539463900773
7/5/2024,surplus,335,304,3.664951471
7/5/2024,,60,57,0
7/4/2024,,69,69,0
7/4/2024,surplus,234,212,1.2819140812774492
7/4/2024,priceimprovement,2563,1883,5.984770321407003
7/3/2024,priceimprovement,2206,1718,4.084669391541323
7/3/2024,,34,34,0
7/3/2024,surplus,168,164,0.39886309456429103
7/2/2024,priceimprovement,2182,1690,3.4529213797492675
7/2/2024,surplus,121,118,0.38582651015020347
7/2/2024,volume,1,1,0.082295978
7/2/2024,,31,31,0
7/1/2024,priceimprovement,2159,1679,2.059027509642839
7/1/2024,,18,17,0
7/1/2024,volume,3,3,0.095206726
7/1/2024,surplus,81,78,1.3043801841526381
6/30/2024,priceimprovement,1779,1494,1.3389555962517223
6/30/2024,surplus,104,102,0.20395287157892125
6/29/2024,priceimprovement,1778,1469,1.4280120729874042
6/29/2024,volume,2,2,0.099782858
6/29/2024,surplus,147,146,0.30594980632784263
6/28/2024,volume,3,3,0.007915217
6/28/2024,surplus,231,224,3.7984441263995716
6/28/2024,priceimprovement,2004,1619,3.2384750131911093
6/27/2024,,3,3,0
6/27/2024,surplus,181,175,1.4530676341913369
6/27/2024,priceimprovement,2404,1816,4.565228411272109
6/27/2024,volume,2,2,0.006207436
6/26/2024,,17,17,0
6/26/2024,surplus,114,108,0.389673589
6/26/2024,volume,1,1,0.11233926036451554
6/26/2024,priceimprovement,1935,1573,3.3076319685355924
6/25/2024,surplus,141,138,0.5932144910839862
6/25/2024,,41,41,0
6/25/2024,priceimprovement,2037,1567,3.6078656777902514
6/25/2024,volume,1,1,0.007543868
6/24/2024,priceimprovement,2457,1830,6.223302080008533
6/24/2024,surplus,280,268,1.4188270946008283
6/24/2024,,64,63,0
6/23/2024,volume,1,1,0.089008252
6/23/2024,,45,43,0
6/23/2024,surplus,161,155,0.8542717720637172
6/23/2024,priceimprovement,1604,1344,2.0938982932775896
6/22/2024,,37,37,0
6/22/2024,surplus,85,82,0.13267846482295623
6/22/2024,volume,1,1,0.002810583
6/22/2024,priceimprovement,1546,1313,1.3624953894282967
6/21/2024,priceimprovement,1835,1459,2.821944703013714
6/21/2024,surplus,160,155,0.7924120648901308
6/21/2024,volume,3,3,0.006209525
6/21/2024,,47,47,0
6/20/2024,,38,38,0
6/20/2024,priceimprovement,1929,1527,2.686988790506138
6/20/2024,surplus,158,150,1.1950446755652038
6/20/2024,volume,5,4,0.3772869445455861
6/19/2024,,28,25,0
6/19/2024,volume,15,9,0.13248587280349297
6/19/2024,priceimprovement,2105,1671,6.460345489124337
6/19/2024,surplus,334,318,2.9665606322658546
6/18/2024,surplus,214,200,1.239075038809474
6/18/2024,priceimprovement,2483,1817,4.728948968276807
6/18/2024,,37,35,0
6/18/2024,volume,4,4,0.055701659
6/17/2024,,50,50,0
6/17/2024,priceimprovement,2034,1611,5.399977260864858
6/17/2024,surplus,241,233,1.0951349723190247
6/17/2024,volume,4,4,0.015151845457995498
6/16/2024,surplus,195,183,0.9075056388780803
6/16/2024,,25,25,0
6/16/2024,priceimprovement,1620,1339,2.372439884787607
6/15/2024,,24,24,0
6/15/2024,surplus,139,128,0.3495489759146118
6/15/2024,priceimprovement,1495,1298,1.5285837009565195
6/14/2024,,32,31,0
6/14/2024,priceimprovement,2077,1589,4.7112626354081035
6/14/2024,surplus,250,230,2.104987035178367
6/14/2024,volume,4,4,0.011883973
6/13/2024,,27,27,0
6/13/2024,volume,3,3,0.010101142
6/13/2024,priceimprovement,2162,1633,7.196651798851115
6/13/2024,surplus,291,268,2.3204472003156096
6/12/2024,priceimprovement,2017,1589,3.5413416039453547
6/12/2024,volume,1,1,0.006478031
6/12/2024,surplus,212,201,0.6659296376617255
6/12/2024,,26,25,0
6/11/2024,volume,6,5,0.7992338040724524
6/11/2024,priceimprovement,2272,1735,5.9989654297204416
6/11/2024,,27,27,0
6/11/2024,surplus,262,244,0.8558738313753171
6/10/2024,priceimprovement,1963,1579,3.6700728903303377
6/10/2024,surplus,214,205,0.6558603965586475
6/10/2024,,24,24,0
6/9/2024,surplus,132,121,0.34499840786944447
6/9/2024,priceimprovement,1503,1300,2.007821074023553
6/9/2024,,20,20,0
6/8/2024,surplus,166,163,1.029744006525473
6/8/2024,,18,18,0
6/8/2024,priceimprovement,1496,1267,1.822195837970943
6/7/2024,volume,1,1,0.017204384983525695
6/7/2024,,22,22,0
6/7/2024,priceimprovement,1883,1476,4.019914469632031
6/7/2024,surplus,197,188,1.1988282196716116
6/6/2024,surplus,193,188,0.9500744279339361
6/6/2024,volume,4,4,0.2090263966597311
6/6/2024,priceimprovement,1885,1494,3.628107136132724
6/6/2024,,12,12,0
6/5/2024,surplus,198,193,1.1322068134628587
6/5/2024,priceimprovement,1989,1567,4.041030259
6/5/2024,volume,5,5,0.11724989739035609
6/5/2024,,15,15,0
6/4/2024,priceimprovement,1972,1569,2.536647878033127
6/4/2024,volume,1,1,0.005733393
6/4/2024,,21,21,0
6/4/2024,surplus,123,121,0.4339906001019631
6/3/2024,surplus,176,170,0.6769036694700948
6/3/2024,priceimprovement,1816,1478,2.672720350194739
6/3/2024,,14,14,0
6/3/2024,volume,4,4,0.043440791
6/2/2024,surplus,160,153,1.0648211605091813
6/2/2024,volume,3,3,0.14714130801654562
6/2/2024,,16,16,0
6/2/2024,priceimprovement,1418,1234,1.797589767415448
6/1/2024,priceimprovement,1683,1395,2.694761693709269
6/1/2024,volume,2,2,0.008842188
6/1/2024,surplus,204,182,0.5452809963255968
6/1/2024,,26,26,0
5/31/2024,surplus,165,154,1.388730596067461
5/31/2024,priceimprovement,1868,1491,4.513081554251876
5/31/2024,volume,2,2,0.064123132
5/31/2024,,25,25,0
5/30/2024,surplus,151,141,0.6406639098358806
5/30/2024,,23,23,0
5/30/2024,volume,8,7,0.3603541927597587
5/30/2024,priceimprovement,1766,1413,4.184145714211234
5/29/2024,,19,18,0
5/29/2024,surplus,176,166,0.634224824
5/29/2024,volume,2,2,0.002438602
5/29/2024,priceimprovement,2019,1608,4.402105192
5/28/2024,,27,25,0
5/28/2024,priceimprovement,2138,1610,5.992638179996905
5/28/2024,volume,4,4,0.018389379619353417
5/28/2024,surplus,176,159,0.7629950961173565
5/27/2024,priceimprovement,2083,1545,4.424471548908168
5/27/2024,volume,3,3,0.1381279984283962
5/27/2024,,31,29,0
5/27/2024,surplus,239,205,1.8714019079831539
5/26/2024,priceimprovement,1635,1316,4.6040076807596515
5/26/2024,,42,41,0
5/26/2024,surplus,192,174,0.5867407317144949
5/25/2024,priceimprovement,1680,1367,2.0032343973865725
5/25/2024,volume,1,1,0.001843163
5/25/2024,surplus,156,153,0.3645341569889596
5/25/2024,,38,37,0
5/24/2024,,51,51,0
5/24/2024,priceimprovement,2325,1609,6.218402783774053
5/24/2024,volume,1,1,0.002773962
5/24/2024,surplus,245,228,1.0532312217669748
5/23/2024,,65,65,0
5/23/2024,volume,1,1,0.020858702882654238
5/23/2024,surplus,282,256,2.841895077716742
5/23/2024,priceimprovement,2513,1670,9.624141016097127
5/22/2024,volume,1,1,0.00350603
5/22/2024,surplus,163,161,0.7277973282290537
5/22/2024,,41,41,0
5/22/2024,priceimprovement,1955,1479,7.586215029396481
5/21/2024,surplus,195,184,1.392156645182306
5/21/2024,priceimprovement,2548,1705,11.71057585951775
5/21/2024,volume,1,1,0.029803548432790535
5/21/2024,,40,39,0
5/20/2024,volume,3,3,0.12380388803796016
5/20/2024,priceimprovement,2053,1484,13.743528563763215
5/20/2024,surplus,272,248,3.793975296751571
5/20/2024,,57,56,0
5/19/2024,,26,26,0
5/19/2024,priceimprovement,1184,1018,1.7555608254044475
5/19/2024,volume,4,4,0.083377357
5/19/2024,surplus,261,247,1.570936177413629
5/18/2024,,39,39,0
5/18/2024,priceimprovement,1244,1075,1.6318019624116704
5/18/2024,surplus,185,171,0.8114758834085044
5/17/2024,volume,3,3,0.019244474905839165
5/17/2024,,62,60,0
5/17/2024,priceimprovement,1688,1370,3.403131183
5/17/2024,surplus,342,309,1.5016380958812112
5/16/2024,priceimprovement,1995,1547,5.172328318844886
5/16/2024,surplus,205,189,0.5675403701533571
5/16/2024,,64,64,0
5/15/2024,surplus,256,244,1.4834326922482637
5/15/2024,,35,35,0
5/15/2024,volume,1,1,0.008664784
5/15/2024,priceimprovement,1953,1512,4.394523593076586
5/14/2024,priceimprovement,1791,1437,4.15895736
5/14/2024,,27,27,0
5/14/2024,surplus,225,216,1.3689953456448027
5/13/2024,priceimprovement,1696,1383,4.542010062090863
5/13/2024,surplus,154,146,1.30674237
5/13/2024,,37,37,0
5/12/2024,,24,23,0
5/12/2024,volume,1,1,0.004089396
5/12/2024,priceimprovement,1081,966,1.646864845363076
5/12/2024,surplus,139,134,0.5642446734451538
5/11/2024,volume,1,1,0.00132922
5/11/2024,surplus,114,104,0.4727271630246958
5/11/2024,priceimprovement,1116,989,1.8097090631036041
5/11/2024,,24,24,0
5/10/2024,,30,30,0
5/10/2024,priceimprovement,1487,1206,2.240383426670052
5/10/2024,volume,1,1,0.051330684383491296
5/10/2024,surplus,171,161,0.5399885560247675
5/9/2024,,46,46,0
5/9/2024,surplus,178,166,0.7310679916006303
5/9/2024,volume,3,3,0.024613611667486407
5/9/2024,priceimprovement,1466,1223,1.6628078106735744
5/8/2024,surplus,371,345,0.9653690748081856
5/8/2024,,39,39,0
5/8/2024,priceimprovement,1604,1316,3.0058053741019304
5/8/2024,volume,6,6,0.11755110844607249
5/7/2024,volume,5,5,0.4854755021036114
5/7/2024,,42,42,0
5/7/2024,priceimprovement,1488,1257,1.4799520809283389
5/7/2024,surplus,203,189,7.050196382262944
5/6/2024,volume,3,3,0.006203243
5/6/2024,,39,38,0
5/6/2024,surplus,177,166,0.5402735353765601
5/6/2024,priceimprovement,1568,1289,4.1554431531324765
5/5/2024,priceimprovement,1322,1135,1.8376532779757775
5/5/2024,volume,14,14,0.043994566491371345
5/5/2024,surplus,120,115,0.2744166678539931
5/5/2024,,30,30,0
5/4/2024,,17,17,0
5/4/2024,surplus,106,102,0.3144944646686298
5/4/2024,volume,1,1,0.001528528
5/4/2024,priceimprovement,1434,1233,1.3438182070441773
5/3/2024,priceimprovement,1649,1312,5.631747288276115
5/3/2024,volume,1,1,0.002522922
5/3/2024,,47,47,0
5/3/2024,surplus,149,139,1.7373016998087607
5/2/2024,volume,1,1,0.002022364
5/2/2024,,38,37,0
5/2/2024,priceimprovement,1741,1378,6.004782571593386
5/2/2024,surplus,119,116,0.42344512676261364
5/1/2024,priceimprovement,1986,1527,5.464733143091364
5/1/2024,volume,2,1,0.3003911369220544
5/1/2024,,48,47,0
5/1/2024,surplus,153,149,2.049167501149419
4/30/2024,priceimprovement,1936,1463,5.2412987679393614
4/30/2024,,54,53,0
4/30/2024,surplus,190,166,1.1014939484179953
4/30/2024,volume,7,7,0.044309456
4/29/2024,,60,60,0
4/29/2024,volume,5,5,0.002029687
4/29/2024,priceimprovement,1583,1295,2.753262809426624
4/29/2024,surplus,134,126,0.3916609414661275
4/28/2024,volume,1,1,0.003330989
4/28/2024,surplus,171,165,0.6519757910583968
4/28/2024,,59,58,0
4/28/2024,priceimprovement,1366,1168,1.5743505065308738
4/27/2024,priceimprovement,1287,1094,1.3369178668002408
4/27/2024,,71,70,0
4/27/2024,surplus,103,99,2.1124407165756267
4/27/2024,volume,1,1,0.001617599
4/26/2024,volume,1,1,0.000383104
4/26/2024,priceimprovement,1643,1334,1.9979367520815192
4/26/2024,surplus,213,203,1.205743788994236
4/26/2024,,55,54,0
4/25/2024,priceimprovement,1726,1393,3.061593213928853
4/25/2024,,73,73,0
4/25/2024,surplus,171,152,0.6861012396485064
4/24/2024,volume,2,2,0.017525607818145765
4/24/2024,,49,48,0
4/24/2024,surplus,208,191,2.130450543495247
4/24/2024,priceimprovement,2116,1700,6.412981661861477
4/23/2024,surplus,179,162,2.231009761
4/23/2024,,63,63,0
4/23/2024,priceimprovement,1987,1517,5.7571079574900015
4/23/2024,volume,10,10,0.041477406
4/22/2024,surplus,196,174,0.5319136419571429
4/22/2024,volume,2,2,0.017484599746537936
4/22/2024,,16,16,0
4/22/2024,priceimprovement,1798,1400,4.384745875563411
4/21/2024,,18,18,0
4/21/2024,surplus,105,98,0.35992751007494783
4/21/2024,priceimprovement,1245,1056,1.8391616019088275
4/20/2024,surplus,180,161,0.41504354479508565
4/20/2024,priceimprovement,1293,1098,2.419827213189664
4/20/2024,,13,13,0
4/19/2024,priceimprovement,1610,1182,5.373515167
4/19/2024,surplus,169,157,1.075912383627815
4/19/2024,,12,12,0
4/18/2024,surplus,138,131,0.25155456525527253
4/18/2024,,11,11,0
4/18/2024,priceimprovement,1631,1250,5.043889125477945
4/17/2024,surplus,167,159,0.7629474804416343
4/17/2024,volume,1,1,0.013516008763378677
4/17/2024,,13,13,0
4/17/2024,priceimprovement,1783,1285,4.871657112646492
4/16/2024,volume,1,1,0.001580064
4/16/2024,priceimprovement,1763,1337,7.439284325401759
4/16/2024,surplus,180,161,1.1593777186078456
4/16/2024,,7,7,0
4/15/2024,surplus,203,191,1.4142886374472015
4/15/2024,priceimprovement,1837,1417,7.103985734724414
4/14/2024,,0,0,
4/14/2024,surplus,226,203,1.422390281863586
4/14/2024,priceimprovement,1754,1354,7.701643912855592
4/14/2024,volume,3,3,0.037061234
4/13/2024,priceimprovement,2124,1446,20.66001643679921
4/13/2024,volume,1,1,0.010490207190609393
4/13/2024,surplus,276,243,8.923763959069495
4/12/2024,volume,3,3,0.025486626986842113
4/12/2024,,0,0,
4/12/2024,priceimprovement,2048,1478,9.866001913253413
4/12/2024,surplus,250,229,2.076300142529586
4/11/2024,,0,0,
4/11/2024,volume,3,3,0.016498213535405204
4/11/2024,surplus,152,148,0.8937482122841056
4/11/2024,priceimprovement,1955,1481,9.490648652076253
4/10/2024,surplus,216,209,1.8448224749962152
4/10/2024,,0,0,
4/10/2024,volume,1,1,0.001425778
4/10/2024,priceimprovement,1644,1341,6.661489434691691
4/9/2024,volume,2,2,0.011383523
4/9/2024,,0,0,
4/9/2024,surplus,154,145,1.1281737899376028
4/9/2024,priceimprovement,1711,1391,5.066837048199923
4/8/2024,priceimprovement,1814,1467,9.134059693023092
4/8/2024,volume,1,1,0.001683419
4/8/2024,surplus,228,213,2.7543239186925748
4/7/2024,surplus,141,132,0.822866529
4/7/2024,priceimprovement,1537,1304,3.1567305754369044
4/7/2024,volume,1,1,0.001662959
4/6/2024,priceimprovement,1576,1286,5.143612656197083
4/6/2024,surplus,160,152,1.585410184585528
4/5/2024,surplus,139,129,3.4923137280961214
4/5/2024,priceimprovement,1776,1387,5.364570172570784
4/5/2024,volume,3,3,0.001289338
4/4/2024,volume,2,2,0.000141097
4/4/2024,surplus,131,125,0.9513118556030691
4/4/2024,priceimprovement,1857,1470,7.799317534692331
4/3/2024,,8,7,0
4/3/2024,surplus,145,142,1.868562157366155
4/3/2024,priceimprovement,1951,1542,2.928087441479303
