auction_id,deals_paired,fullfilled_proportion,total_volume,volume_paired,execution_time_seconds,CoW_total_volume,CoW_volume_proportion,CoW transaction paired,CoW_fee_estimate,Volume_fee_estimate,,,,,Mean,SD
9142103,6.997035497,0.003957685,28773901.12,113878.0426,33.69598293,0,0,0,0,11.38780426,,,,Transactions paired,1.24,1.00
9142106,14.8088499,0.007455062,30057437.6,224080.0505,34.05690503,2936.792776,9.77E-05,1,0,22.40800505,,,,Matched volume ,43756.82,132392.69
9142108,15.02775213,0.006706217,30378493.35,203724.7548,27.16158509,0,0,0,0,20.37247548,,,,Matched volume percentage,0.14,0.42
9142110,12.1467603,0.005667084,31226840.87,176965.1453,29.70343709,1285.371924,4.12E-05,1,8.849036228,17.69651453,,,,Fees collected,14.45,15.46
9142111,12.37117085,0.007282325,28564385.16,208015.1332,35.12960148,0,0,0,0,20.80151332,,,,,,
9142113,6.521649554,0.003125421,29831090.88,93234.72079,35.62675071,0,0,0,0,9.323472079,,,,Transactions paired,7.81,3.85
9142114,10.67717589,0.005387879,31002171.81,167035.9554,38.24281049,9864.627438,0.000318191,1,5.750008471,16.70359554,,,,Matched volume ,135801.54,68595.96
9142115,11.15253146,0.004654766,31361254.3,145979.2921,35.81906414,0,0,0,0,14.59792921,,,,Matched volume percentage,0.46,0.24
9142116,10.03539097,0.004459147,30673654.89,136778.3361,62.66667414,6278.51685,0.000204688,1,7.877020434,13.67783361,,,,Fees collected (assuming 0.01% of the volume),13.58,6.86
9142119,4.926812904,0.001877308,28197368.68,52935.13244,59.77866626,4990.952818,0.000177001,2,8.636218253,5.293513244,,,,,,
9142120,9.561687085,0.00339607,31297632.83,106288.9493,55.05341887,13533.14509,0.000432402,2,10.10333782,10.62889493,,,,,,
9142121,8.944775593,0.005354076,28789073.07,154138.8907,57.02030611,49.41537444,1.72E-06,1,4.203595915,15.41388907,,,,,,
9142122,10.88092405,0.006098831,30808065.51,187893.1984,54.32228231,49.41537444,1.60E-06,1,4.203595915,18.78931984,,,,,,
9142123,7.892472488,0.004886718,31799072.08,155393.0881,49.73038602,986512.1592,0.0310233,2,9.364527307,15.53930881,,,,,,
9142124,8.398015766,0.00440191,32068783.92,141163.9017,58.94523978,49.41537444,1.54E-06,1,4.203595915,14.11639017,,,,,,
9142125,8.245089666,0.003752219,28494656.49,106918.193,72.50843644,0,0,0,0,10.6918193,,,,,,
9142127,3.322199936,0.001367224,31201610.58,42659.58535,68.38765287,0,0,0,0,4.265958535,,,,,,
9142166,4.664441141,0.004075284,31603724.26,128794.157,37.32839513,351162.4357,0.011111426,2,11.31603974,12.8794157,,,,,,
9142167,5.483193625,0.004161654,30984768.83,128947.89,34.9551537,49901.76756,0.001610526,2,16.07408003,12.894789,,,,,,
